Time,tp
1988-01-01 06:00:00,0.036148667
1988-02-01 06:00:00,0.041347124
1988-03-01 06:00:00,0.035585213
1988-04-01 06:00:00,0.06298694
1988-05-01 06:00:00,0.06434612
1988-06-01 06:00:00,0.024057865
1988-07-01 06:00:00,0.031021781
1988-08-01 06:00:00,0.035947226
1988-09-01 06:00:00,0.028524399
1988-10-01 06:00:00,0.036637116
1988-11-01 06:00:00,0.052655604
1988-12-01 06:00:00,0.039858155
1989-01-01 06:00:00,0.008262318
1989-02-01 06:00:00,0.012177248
1989-03-01 06:00:00,0.04609452
1989-04-01 06:00:00,0.04149742
1989-05-01 06:00:00,0.055799868
1989-06-01 06:00:00,0.034958456
1989-07-01 06:00:00,0.018857002
1989-08-01 06:00:00,0.02801685
1989-09-01 06:00:00,0.036882687
1989-10-01 06:00:00,0.052598
1989-11-01 06:00:00,0.039695174
1989-12-01 06:00:00,0.038806062
1990-01-01 06:00:00,0.03300066
1990-02-01 06:00:00,0.048476413
1990-03-01 06:00:00,0.06261921
1990-04-01 06:00:00,0.05022812
1990-05-01 06:00:00,0.051347733
1990-06-01 06:00:00,0.026510047
1990-07-01 06:00:00,0.021975325
1990-08-01 06:00:00,0.036172673
1990-09-01 06:00:00,0.039435863
1990-10-01 06:00:00,0.028587244
1990-11-01 06:00:00,0.03805933
1990-12-01 06:00:00,0.03181697
1991-01-01 06:00:00,0.02907953
1991-02-01 06:00:00,0.04418955
1991-03-01 06:00:00,0.04685898
1991-04-01 06:00:00,0.06433411
1991-05-01 06:00:00,0.05679093
1991-06-01 06:00:00,0.05018921
1991-07-01 06:00:00,0.023637388
1991-08-01 06:00:00,0.032239437
1991-09-01 06:00:00,0.035877228
1991-10-01 06:00:00,0.037776187
1991-11-01 06:00:00,0.05352841
1991-12-01 06:00:00,0.02374607
1992-01-01 06:00:00,0.013663627
1992-02-01 06:00:00,0.010034781
1992-03-01 06:00:00,0.030967902
1992-04-01 06:00:00,0.055570602
1992-05-01 06:00:00,0.03534775
1992-06-01 06:00:00,0.03695946
1992-07-01 06:00:00,0.028335
1992-08-01 06:00:00,0.02825222
1992-09-01 06:00:00,0.024625301
1992-10-01 06:00:00,0.044079207
1992-11-01 06:00:00,0.041104514
1992-12-01 06:00:00,0.035735514
1993-01-01 06:00:00,0.022344165
1993-02-01 06:00:00,0.038960554
1993-03-01 06:00:00,0.04862881
1993-04-01 06:00:00,0.045351032
1993-05-01 06:00:00,0.053818893
1993-06-01 06:00:00,0.03285942
1993-07-01 06:00:00,0.013470363
1993-08-01 06:00:00,0.021655466
1993-09-01 06:00:00,0.031086924
1993-10-01 06:00:00,0.032795623
1993-11-01 06:00:00,0.041622162
1993-12-01 06:00:00,0.046057887
1994-01-01 06:00:00,0.033109013
1994-02-01 06:00:00,0.00916478
1994-03-01 06:00:00,0.041428857
1994-04-01 06:00:00,0.05769501
1994-05-01 06:00:00,0.038813308
1994-06-01 06:00:00,0.026123714
1994-07-01 06:00:00,0.029719733
1994-08-01 06:00:00,0.033787344
1994-09-01 06:00:00,0.041620824
1994-10-01 06:00:00,0.036691096
1994-11-01 06:00:00,0.05781975
1994-12-01 06:00:00,0.054022796
1995-01-01 06:00:00,0.022532973
1995-02-01 06:00:00,0.038449768
1995-03-01 06:00:00,0.047351457
1995-04-01 06:00:00,0.050945856
1995-05-01 06:00:00,0.05554962
1995-06-01 06:00:00,0.024058152
1995-07-01 06:00:00,0.02810583
1995-08-01 06:00:00,0.032211684
1995-09-01 06:00:00,0.03149948
1995-10-01 06:00:00,0.044085886
1995-11-01 06:00:00,0.06575127
1995-12-01 06:00:00,0.05015507
1996-01-01 06:00:00,0.030793302
1996-02-01 06:00:00,0.029645067
1996-03-01 06:00:00,0.063127324
1996-04-01 06:00:00,0.053230476
1996-05-01 06:00:00,0.04075279
1996-06-01 06:00:00,0.043647
1996-07-01 06:00:00,0.020370578
